Playing with alpha: 0.0, Win Rate: 0.49666666666666665
Playing with alpha: 0.04, Win Rate: 0.52
Playing with alpha: 0.08, Win Rate: 0.5566666666666666
Playing with alpha: 0.12, Win Rate: 0.5266666666666666
Playing with alpha: 0.16, Win Rate: 0.57
Playing with alpha: 0.2, Win Rate: 0.5666666666666667
Playing with alpha: 0.24, Win Rate: 0.5466666666666666
Playing with alpha: 0.28, Win Rate: 0.55
Playing with alpha: 0.32, Win Rate: 0.5233333333333333
Playing with alpha: 0.36, Win Rate: 0.53
Playing with alpha: 0.4, Win Rate: 0.46
Playing with alpha: 0.44, Win Rate: 0.5166666666666667
Playing with alpha: 0.48, Win Rate: 0.5
Playing with alpha: 0.52, Win Rate: 0.46
Playing with alpha: 0.56, Win Rate: 0.42
Playing with alpha: 0.6, Win Rate: 0.45666666666666667
Playing with alpha: 0.64, Win Rate: 0.49
Playing with alpha: 0.68, Win Rate: 0.43666666666666665
Playing with alpha: 0.72, Win Rate: 0.38333333333333336
Playing with alpha: 0.76, Win Rate: 0.36666666666666664
Playing with alpha: 0.8, Win Rate: 0.3333333333333333
Playing with alpha: 0.84, Win Rate: 0.26
Playing with alpha: 0.88, Win Rate: 0.28
Playing with alpha: 0.92, Win Rate: 0.25333333333333335
Playing with alpha: 0.96, Win Rate: 0.17333333333333334
Playing with alpha: 1.0, Win Rate: 0.16
